nodename,timestamp,cpu_load,mem_load,power
comput2,2023-05-11 16:17:02,3.6,1.2613,300
comput2,2023-05-11 16:17:21,3.58,1.2614,312
comput2,2023-05-11 16:17:38,3.6,1.2616,330
comput2,2023-05-11 16:17:56,3.6,1.2619,324
comput2,2023-05-11 16:18:13,3.6,1.262,300
comput2,2023-05-11 16:18:30,3.58,1.262,306
comput2,2023-05-11 16:18:53,3.6,1.2614,306
comput2,2023-05-11 16:19:09,3.58,1.2611,312
comput2,2023-05-11 16:19:26,3.63,1.2608,306
comput2,2023-05-11 16:19:44,4.56,1.2636,294
comput2,2023-05-11 16:20:01,3.97,1.2632,330
comput2,2023-05-11 16:20:15,3.6,1.2622,306
comput2,2023-05-11 16:20:32,3.6,1.2618,318
comput2,2023-05-11 16:20:55,3.6,1.2617,288
comput2,2023-05-11 16:21:11,3.58,1.2616,324
comput2,2023-05-11 16:21:24,3.6,1.2613,306
comput2,2023-05-11 16:21:38,3.6,1.2619,312
comput2,2023-05-11 16:21:57,3.65,1.2613,300
comput2,2023-05-11 16:22:16,3.6,1.2613,318
comput2,2023-05-11 16:22:33,3.6,1.2611,300
comput2,2023-05-11 16:22:54,3.65,1.2614,300
comput2,2023-05-11 16:23:13,3.6,1.2611,312
comput2,2023-05-11 16:23:29,3.6,1.2606,312
comput2,2023-05-11 16:23:51,3.58,1.2601,300
comput2,2023-05-11 16:24:11,5.01,1.2654,300
comput2,2023-05-11 16:24:31,3.6,1.2628,312
comput2,2023-05-11 16:24:58,3.6,1.2615,294
comput2,2023-05-11 16:25:15,3.6,1.262,312
comput2,2023-05-11 16:25:33,3.63,1.2613,312
comput2,2023-05-11 16:25:57,3.6,1.2611,312
comput2,2023-05-11 16:26:14,3.58,1.26,300
comput2,2023-05-11 16:26:32,3.6,1.2605,312
comput2,2023-05-11 16:26:54,3.6,1.2608,306
comput2,2023-05-11 16:27:09,3.61,1.2606,312
comput2,2023-05-11 16:27:26,3.63,1.26,306
comput2,2023-05-11 16:27:45,3.58,1.2606,312
comput2,2023-05-11 16:28:02,3.6,1.2608,306
comput2,2023-05-11 16:28:19,3.6,1.2609,306
comput2,2023-05-11 16:28:35,3.63,1.2618,294
comput2,2023-05-11 16:28:59,3.65,1.261,306
comput2,2023-05-11 16:29:15,3.61,1.2612,318
comput2,2023-05-11 16:29:33,3.58,1.2614,312
comput2,2023-05-11 16:29:56,3.61,1.262,306
comput2,2023-05-11 16:30:13,3.6,1.2622,300
comput2,2023-05-11 16:30:29,3.61,1.262,288
comput2,2023-05-11 16:30:55,3.65,1.2628,306
comput2,2023-05-11 16:31:11,3.61,1.261,288
comput2,2023-05-11 16:31:28,3.6,1.2613,282
comput2,2023-05-11 16:31:51,3.63,1.2598,324
comput2,2023-05-11 16:32:09,3.7,1.2602,306
comput2,2023-05-11 16:32:25,3.61,1.2598,318
comput2,2023-05-11 16:32:50,3.6,1.2598,306
comput2,2023-05-11 16:33:05,3.61,1.2595,330
comput2,2023-05-11 16:33:22,3.6,1.2592,330
comput2,2023-05-11 16:33:42,3.56,1.2596,318
comput2,2023-05-11 16:34:02,3.6,1.259,294
comput2,2023-05-11 16:34:23,3.65,1.2589,318
comput2,2023-05-11 16:34:40,3.61,1.2582,324
comput2,2023-05-11 16:34:58,3.6,1.2577,306
comput2,2023-05-11 16:35:14,3.6,1.2579,318
comput2,2023-05-11 16:35:28,3.58,1.2588,312
comput2,2023-05-11 16:35:42,3.58,1.2584,318
comput2,2023-05-11 16:35:57,3.6,1.2588,306
comput2,2023-05-11 16:36:22,3.6,1.258,306
comput2,2023-05-11 16:36:38,3.58,1.2585,300
comput2,2023-05-11 16:36:59,3.7,1.2578,324
comput2,2023-05-11 16:37:15,3.6,1.2581,306
comput2,2023-05-11 16:37:34,3.7,1.2585,306
comput2,2023-05-11 16:37:56,4.54,1.258,306
comput2,2023-05-11 16:38:12,3.6,1.2575,318
comput2,2023-05-11 16:38:30,3.6,1.257,318
comput2,2023-05-11 16:38:53,3.56,1.2567,318
comput2,2023-05-11 16:39:11,3.58,1.2576,294
comput2,2023-05-11 16:39:35,4.61,1.2576,312
comput2,2023-05-11 16:39:58,3.6,1.2573,324
comput2,2023-05-11 16:40:15,3.83,1.2582,300
comput2,2023-05-11 16:40:31,3.6,1.259,330
comput2,2023-05-11 16:40:53,3.58,1.258,288
comput2,2023-05-11 16:41:11,3.62,1.2582,312
comput2,2023-05-11 16:41:29,3.61,1.2576,306
comput2,2023-05-11 16:41:44,3.58,1.2573,294
comput2,2023-05-11 16:41:59,3.67,1.2569,324
comput2,2023-05-11 16:42:15,3.63,1.2579,318
comput2,2023-05-11 16:42:31,3.58,1.2581,312
comput2,2023-05-11 16:42:57,3.6,1.2577,294
comput2,2023-05-11 16:43:14,3.6,1.2574,318
comput2,2023-05-11 16:43:34,3.58,1.2575,306
comput2,2023-05-11 16:43:55,3.58,1.2575,312
comput2,2023-05-11 16:44:13,3.58,1.257,306
comput2,2023-05-11 16:44:32,3.6,1.257,306
comput2,2023-05-11 16:44:48,3.63,1.2571,306
comput2,2023-05-11 16:45:11,3.58,1.257,306
comput2,2023-05-11 16:45:28,4.22,1.2597,300
comput2,2023-05-11 16:45:44,3.81,1.259,318
comput2,2023-05-11 16:46:00,3.58,1.2586,294
comput2,2023-05-11 16:46:17,3.6,1.2578,312
comput2,2023-05-11 16:46:37,3.65,1.2579,318
comput2,2023-05-11 16:46:58,3.58,1.2568,318
comput2,2023-05-11 16:47:15,3.65,1.2574,318
comput2,2023-05-11 16:47:32,3.61,1.2573,300
comput2,2023-05-11 16:47:56,4.61,1.258,324
comput2,2023-05-11 16:48:13,3.61,1.2571,306
comput2,2023-05-11 16:48:34,3.7,1.2574,318
comput2,2023-05-11 16:49:00,3.6,1.2569,306
comput2,2023-05-11 16:49:17,3.6,1.2569,306
comput2,2023-05-11 16:49:35,4.54,1.2577,306
comput2,2023-05-11 16:49:56,3.61,1.258,324
comput2,2023-05-11 16:50:13,3.58,1.258,318
comput2,2023-05-11 16:50:29,3.58,1.2577,306
comput2,2023-05-11 16:50:48,3.61,1.2571,312
comput2,2023-05-11 16:51:05,3.58,1.257,312
comput2,2023-05-11 16:51:22,3.6,1.2574,306
comput2,2023-05-11 16:51:42,3.58,1.2573,300
comput2,2023-05-11 16:52:00,4.13,1.2587,300
comput2,2023-05-11 16:52:18,3.63,1.2587,318
comput2,2023-05-11 16:52:36,3.6,1.2587,318
comput2,2023-05-11 16:52:56,3.6,1.2582,300
comput2,2023-05-11 16:53:12,3.6,1.2582,294
comput2,2023-05-11 16:53:30,3.6,1.2579,318
comput2,2023-05-11 16:53:51,3.61,1.257,312
comput2,2023-05-11 16:54:06,3.65,1.25,318
comput2,2023-05-11 16:54:23,3.61,1.2577,318
comput2,2023-05-11 16:54:42,3.6,1.2572,306
comput2,2023-05-11 16:55:00,3.69,1.2576,312
comput2,2023-05-11 16:55:16,3.6,1.257,324
comput2,2023-05-11 16:55:32,4.11,1.2598,306
comput2,2023-05-11 16:55:56,3.61,1.2582,300
comput2,2023-05-11 16:56:13,3.63,1.2577,318
comput2,2023-05-11 16:56:29,3.58,1.2578,300
comput2,2023-05-11 16:56:48,3.58,1.2577,318
comput2,2023-05-11 16:57:04,3.61,1.2576,306
comput2,2023-05-11 16:57:20,3.6,1.2573,312
comput2,2023-05-11 16:57:38,3.6,1.257,306
comput2,2023-05-11 16:57:58,3.6,1.256,294
comput2,2023-05-11 16:58:13,3.58,1.2572,306
comput2,2023-05-11 16:58:30,3.58,1.2569,300
comput2,2023-05-11 16:58:57,3.63,1.2568,312
comput2,2023-05-11 16:59:12,3.6,1.2568,294
comput2,2023-05-11 16:59:26,3.6,1.256,312
comput2,2023-05-11 16:59:40,3.58,1.256,312
comput2,2023-05-11 16:59:59,3.67,1.257,300
comput2,2023-05-11 17:00:17,3.63,1.2579,300
comput2,2023-05-11 17:00:35,3.94,1.2579,312
comput2,2023-05-11 17:00:59,3.65,1.2577,300
comput2,2023-05-11 17:01:15,4.6,1.2582,324
comput2,2023-05-11 17:01:32,3.6,1.2573,318
comput2,2023-05-11 17:01:57,4.22,1.26,312
comput2,2023-05-11 17:02:13,3.58,1.2589,300
comput2,2023-05-11 17:02:33,3.6,1.2587,294
comput2,2023-05-11 17:02:56,3.72,1.2581,312
comput2,2023-05-11 17:03:14,3.6,1.2574,312
comput2,2023-05-11 17:03:31,3.6,1.2577,288
comput2,2023-05-11 17:03:55,3.6,1.2568,318
comput2,2023-05-11 17:04:11,3.6,1.2565,312
comput2,2023-05-11 17:04:28,3.6,1.2572,300
comput2,2023-05-11 17:04:46,3.6,1.2565,312
comput2,2023-05-11 17:05:04,3.6,1.256,312
comput2,2023-05-11 17:05:19,4.22,1.2582,318
comput2,2023-05-11 17:05:41,3.58,1.2574,288
comput2,2023-05-11 17:06:03,3.6,1.2573,318
comput2,2023-05-11 17:06:19,3.62,1.257,306
comput2,2023-05-11 17:06:38,3.6,1.256,300
comput2,2023-05-11 17:06:58,3.6,1.2569,312
comput2,2023-05-11 17:07:14,3.58,1.2568,288
comput2,2023-05-11 17:07:30,3.58,1.2566,312
comput2,2023-05-11 17:07:55,3.6,1.2568,306
comput2,2023-05-11 17:08:10,3.6,1.2562,306
comput2,2023-05-11 17:08:36,3.63,1.256,294
comput2,2023-05-11 17:08:54,3.6,1.2561,324
comput2,2023-05-11 17:09:14,3.58,1.2563,306
comput2,2023-05-11 17:09:32,3.58,1.2567,294
comput2,2023-05-11 17:09:53,3.58,1.2566,312
comput2,2023-05-11 17:10:13,3.63,1.257,300
comput2,2023-05-11 17:10:29,3.6,1.2588,312
comput2,2023-05-11 17:10:45,3.61,1.2578,312
comput2,2023-05-11 17:11:00,3.61,1.2573,300
comput2,2023-05-11 17:11:16,3.6,1.2579,300
comput2,2023-05-11 17:11:34,4.02,1.2587,288
comput2,2023-05-11 17:11:56,3.6,1.258,300
comput2,2023-05-11 17:12:10,3.65,1.257,294
comput2,2023-05-11 17:12:24,3.6,1.2568,312
comput2,2023-05-11 17:12:39,1.87,1.2244,318
comput2,2023-05-11 17:14:01,28.81,1.3348,396
comput2,2023-05-11 17:14:16,28.59,1.3358,402
comput2,2023-05-11 17:14:32,26.86,1.33,408
comput2,2023-05-11 17:14:57,26.82,1.3332,396
comput2,2023-05-11 17:15:13,26.81,1.3399,408
comput2,2023-05-11 17:15:32,26.82,1.3482,390
comput2,2023-05-11 17:15:56,26.96,1.35,408
comput2,2023-05-11 17:16:12,26.85,1.352,396
comput2,2023-05-11 17:16:36,25.08,1.3215,402
comput2,2023-05-11 17:16:56,25.03,1.3208,402
comput2,2023-05-11 17:17:13,23.24,1.3099,390
comput2,2023-05-11 17:17:30,23.31,1.3119,384
comput2,2023-05-11 17:17:45,23.24,1.3115,384
comput2,2023-05-11 17:18:01,23.22,1.31,378
comput2,2023-05-11 17:18:19,23.25,1.311,396
comput2,2023-05-11 17:18:37,23.26,1.312,390
comput2,2023-05-11 17:18:59,19.71,1.3067,372
comput2,2023-05-11 17:19:15,20.79,1.308,384
comput2,2023-05-11 17:19:32,19.65,1.3078,378
comput2,2023-05-11 17:19:57,19.68,1.3093,384
comput2,2023-05-11 17:20:14,19.66,1.309,378
